ts,name,x,y,z
36804.3,right_thumb,0.576479,0.546872,-0.040917
36804.3,right_index,0.589315,0.358651,-0.048518
36804.3,right_middle,0.645482,0.266459,-0.056145
36804.3,right_ring,0.705504,0.253038,-0.073640
36804.3,right_pinky,0.819781,0.291275,-0.083014
36804.3,left_thumb,0.425402,0.605861,-0.035300
36804.3,left_index,0.431540,0.410951,-0.045502
36804.3,left_middle,0.398022,0.314111,-0.046538
36804.3,left_ring,0.342095,0.295834,-0.061999
36804.3,left_pinky,0.232513,0.324566,-0.067058
36830.2,right_thumb,0.573299,0.550722,-0.040291
36830.2,right_index,0.584696,0.360268,-0.048232
36830.2,right_middle,0.642636,0.267270,-0.055400
36830.2,right_ring,0.703474,0.253893,-0.072857
36830.2,right_pinky,0.819277,0.291644,-0.082366
36830.2,left_thumb,0.425017,0.608440,-0.035823
36830.2,left_index,0.430674,0.411846,-0.045864
36830.2,left_middle,0.396906,0.314199,-0.047009
36830.2,left_ring,0.339646,0.294783,-0.062646
36830.2,left_pinky,0.226460,0.323544,-0.067807
36846.8,right_thumb,0.571467,0.552585,-0.039892
36846.8,right_index,0.582739,0.361118,-0.048125
36846.8,right_middle,0.641105,0.267847,-0.055386
36846.8,right_ring,0.702057,0.254281,-0.072899
36846.8,right_pinky,0.818766,0.291807,-0.082496
36846.8,left_thumb,0.424683,0.609760,-0.035951
36846.8,left_index,0.430139,0.412078,-0.045820
36846.8,left_middle,0.396091,0.314244,-0.047073
36846.8,left_ring,0.338009,0.294627,-0.062868
36846.8,left_pinky,0.222847,0.323317,-0.068085
36863,right_thumb,0.569435,0.554938,-0.040025
36863,right_index,0.579767,0.362867,-0.048267
36863,right_middle,0.638836,0.268952,-0.055179
36863,right_ring,0.700224,0.255332,-0.072648
36863,right_pinky,0.817939,0.293006,-0.082317
36863,left_thumb,0.424220,0.610526,-0.036246
36863,left_index,0.429464,0.412013,-0.046149
36863,left_middle,0.395098,0.313665,-0.047379
36863,left_ring,0.336141,0.293662,-0.063248
36863,left_pinky,0.218909,0.322633,-0.068507
36880.2,right_thumb,0.567642,0.556641,-0.039962
36880.2,right_index,0.577181,0.364127,-0.048575
36880.2,right_middle,0.636546,0.269685,-0.055489
36880.2,right_ring,0.698229,0.256152,-0.072951
36880.2,right_pinky,0.816865,0.294202,-0.082645
36880.2,left_thumb,0.423686,0.611300,-0.036557
36880.2,left_index,0.428823,0.411968,-0.046510
36880.2,left_middle,0.394051,0.313014,-0.047747
36880.2,left_ring,0.334256,0.293206,-0.063593
36880.2,left_pinky,0.215280,0.322174,-0.068876
36904.7,right_thumb,0.565045,0.558772,-0.040227
36904.7,right_index,0.572787,0.366345,-0.048729
36904.7,right_middle,0.633087,0.271935,-0.055218
36904.7,right_ring,0.695199,0.258365,-0.072565
36904.7,right_pinky,0.814790,0.296263,-0.082458
36904.7,left_thumb,0.422956,0.612065,-0.036550
36904.7,left_index,0.427345,0.411415,-0.046357
36904.7,left_middle,0.392337,0.312144,-0.047629
36904.7,left_ring,0.331195,0.291330,-0.063748
36904.7,left_pinky,0.209593,0.320845,-0.069058
36921.7,right_thumb,0.563281,0.559949,-0.040144
36921.7,right_index,0.570457,0.367429,-0.048905
36921.7,right_middle,0.630724,0.272885,-0.055419
36921.7,right_ring,0.693165,0.259457,-0.072772
36921.7,right_pinky,0.813278,0.297442,-0.082701
36921.7,left_thumb,0.422392,0.612492,-0.036655
36921.7,left_index,0.426418,0.410858,-0.046446
36921.7,left_middle,0.391165,0.311404,-0.047737
36921.7,left_ring,0.329162,0.290238,-0.063914
36921.7,left_pinky,0.206475,0.320246,-0.069251
36938.4,right_thumb,0.561408,0.561356,-0.040292
36938.4,right_index,0.568071,0.368436,-0.049151
36938.4,right_middle,0.628268,0.273910,-0.055487
36938.4,right_ring,0.690935,0.260685,-0.072756
